# --
"Vault Enabled","Habilitar tokenização"

# -- Y
"Your payment was processed by PayU","Sua solicitação foi processada com sucesso por PayU."
"Your payment status is","Status do pagamento"

# -- W
"We store you payment information securely on PayU servers via SSL.","As informações de pagamento são armazenadas de forma segura nos servidores PCI Compliance da PayU através de conexão SSL."
"Without interest","Sem juros"

# --
"APPROVED","A transação foi aprovada."
"ANTIFRAUD_REJECTED","A transação foi rejeitada. Entre em contato com sua operadora para liberar a transação. Verifique se você informou os dados do cartão de crédito e endereço corretamente. O Endereço de Cobrança deve coincidir com o Endereço da Fatura do Cartão de Crédito."
"PAYMENT_NETWORK_REJECTED","A intituição financeira rejeitou sua transação. Entre em contato com seu banco para mais detalhes."
"ENTITY_DECLINED","A transação foi rejeitada pelo banco ou pela rede financeira devido a um erro. Entre em contato com o banco emissor para mais detalhes."
"INTERNAL_PAYMENT_PROVIDER_ERROR","Ocorreu um erro no sistema tentando processar o pagamento. Tente novamente mais tarde."
"INACTIVE_PAYMENT_PROVIDER","O fornecedor de pagamentos não estava ativo. Tente novamente mais tarde."
"DIGITAL_CERTIFICATE_NOT_FOUND","A rede financeira relatou um erro na autenticação. Entre em contato com a loja e informe o problema."
"INVALID_EXPIRATION_DATE_OR_SECURITY_CODE","O código de segurança ou a data de expiração do cartão de crédito é inválida. Verifique os dados e tente novamente."
"INVALID_RESPONSE_PARTIAL_APPROVAL","Tipo de resposta inválida. A entidade financeira aprovou parcialmente a transação, mas será cancelado automaticamente pelo sistema."
"INSUFFICIENT_FUNDS","Verifique se você têm saldo suficiente para realizar esta compra."
"CREDIT_CARD_NOT_AUTHORIZED_FOR_INTERNET_TRANSACTIONS","O cartão de crédito não estava autorizado para transações pela Internet. Entre em contato com o banco emissor e solicite a liberação."
"INVALID_TRANSACTION","A rede financeira relatou que a transação foi inválida. Verifique se informou os dados corretamente."
"INVALID_CARD","O cartão de crédito é inválido. Tente novamente e informe o cartão corretamente."
"EXPIRED_CARD","O cartão de crédito já expirou."
"RESTRICTED_CARD","O cartão de crédito apresenta uma restrição. Entre em contato com o banco emissor para mais detalhes."
"CONTACT_THE_ENTITY","Você deve entrar em contato com o banco emissor para saber qual o motivo da recusa da transação."
"REPEAT_TRANSACTION","Houve um problema ao processar sua requisição. Tente novamente."
"ENTITY_MESSAGING_ERROR","A rede financeira relatou um erro de comunicações com o banco. Tente novamente."
"BANK_UNREACHABLE","O banco não se encontrava disponível. Tente novamente mais tarde."
"EXCEEDED_AMOUNT","O valor da transação excede o montante estabelecido pelo banco. Entre em contato com seu banco emissor para resolver o problema."
"NOT_ACCEPTED_TRANSACTION","A transação não foi aceita pelo banco emissor por algum motivo. Entre em contato com seu banco emissor para resolver o problema."
"ERROR_CONVERTING_TRANSACTION_AMOUNTS","Ocorreu um erro convertendo os montantes para a moeda de pagamento."
"EXPIRED_TRANSACTION","A transação expirou. Tente novamente."
"PENDING_TRANSACTION_REVIEW","A transação foi parada e deve ser revista, isto pode ocorrer por filtros de segurança."
"PENDING_TRANSACTION_CONFIRMATION","A transação está pendente de confirmação."
"PENDING_TRANSACTION_TRANSMISSION","A transação está pendente para ser transmitida para a rede financeira. Normalmente isto se aplica para transações com formas de pagamento em dinheiro."
"PAYMENT_NETWORK_BAD_RESPONSE","A mensagem retornada pela rede financeira é inconsistente."
"PAYMENT_NETWORK_NO_CONNECTION","Não foi possível realizar a conexão com a rede financeira."
"PAYMENT_NETWORK_NO_RESPONSE","A rede financeira não respondeu."
"FIX_NOT_REQUIRED","Código de operação interna."
"AUTOMATICALLY_FIXED_AND_SUCCESS_REVERSAL","Código de operação interna. Somente aplicável para o API de consultas."
"AUTOMATICALLY_FIXED_AND_UNSUCCESS_REVERSAL","Código de operação interna. Somente aplicável para o API de consultas."
"AUTOMATIC_FIXED_NOT_SUPPORTED","Código de operação interna. Somente aplicável para o API de consultas."
"NOT_FIXED_FOR_ERROR_STATE","Código de operação interna. Somente aplicável para o API de consultas."
"ERROR_FIXING_AND_REVERSING","Código de operação interna. Somente aplicável para o API de consultas."
"ERROR_FIXING_INCOMPLETE_DATA","Código de operação interna. Somente aplicável para o API de consultas."
"DECLINED_TEST_MODE_NOT_ALLOWED","Esta conta não está liberada para pedidos de teste."
"Parameter [payerDNI] is required.","CPF é obrigatório. Verifique nas informações de sua conta se informou o CPF corretamente."
"The credit card expiration date is not valid","A data de validade do cartão de crédito é inválida."
"ERROR","Houve um erro ao processar sua requisição. Por favor tente novamente, ou escolha outra forma de pagamento."
